model;alpha;beta;gamma;delta;acinar;ductal;hisc;Strength_subtype;Subtype;Confidence_score_dif;Differentiation_score;Strength_de_differentiation;Confidence_score_de_dif
GSM1891230;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;15.4;16.9;15.6;11.5;34.7;5.8;23.3;34.7;acinar;1.49057807648983e+24;-1.49057807648983e+24;0.7;2.71465905335735e+25
GSM1891231;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.8;16.8;14.9;12.6;32.1;6.8;23.7;32.1;acinar;1.54824165261811e+24;-1.54824165261811e+24;0.7;2.72660609828046e+25
GSM1891232;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19.7;15.8;18.4;11.9;28.1;6;22;28.1;acinar;1.65391042222035e+24;-1.65391042222035e+24;0.7;3.14051969028214e+25
GSM1891233;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;15.4;18.9;13.8;11;36.2;4.7;22;36.2;acinar;1.2243442465078e+24;-1.2243442465078e+24;0.7;2.36066349872234e+25
GSM1891234;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;15.5;16.9;15.8;11.7;34.8;5.4;24.1;34.8;acinar;1.37787425776505e+24;-1.37787425776505e+24;0.7;2.51303995087978e+25
GSM1891235;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.2;17.6;15.1;11.2;35.5;4.5;24;35.5;acinar;1.42071030054087e+24;-1.42071030054087e+24;0.7;2.52098580091823e+25
GSM1891236;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.4;17.4;15.3;11.8;34;5.1;23.7;34;acinar;1.50828718757195e+24;-1.50828718757195e+24;0.7;2.67058043861384e+25
GSM1891237;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19.2;18.4;18.3;12.6;26;5.5;22.2;26;acinar;1.63122770868215e+24;-1.63122770868215e+24;0.7;3.04019340536372e+25
GSM1891238;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;17.4;15.7;16.9;11.5;32.2;6.2;23.6;32.2;acinar;1.53835533228681e+24;-1.53835533228681e+24;0.7;2.90632479641883e+25
GSM1891239;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19.6;16.6;18.7;11.9;26.9;6.2;22.2;26.9;acinar;1.88970042959806e+24;-1.88970042959806e+24;0.7;3.38117789307062e+25
GSM1891240;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19.5;16.6;18.8;12.1;26.9;6.1;21.9;26.9;acinar;1.88859827522662e+24;-1.88859827522662e+24;0.7;3.35468019909849e+25
GSM1891241;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.8;16.9;14.5;11.7;33.6;6.4;23.8;33.6;acinar;1.53833626687832e+24;-1.53833626687832e+24;0.7;2.69734987163425e+25
GSM1891242;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.9;16.8;14.3;11.9;33.4;6.5;23.7;33.5;acinar;1.5040950142164e+24;-1.5040950142164e+24;0.7;2.62450023216081e+25
GSM1891243;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;18.4;17.1;17.5;12.4;27.9;6.7;22.2;27.9;acinar;1.89386199621279e+24;-1.89386199621279e+24;0.7;3.32786666961937e+25
GSM1891244;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.8;15.9;16.1;10.9;35.5;4.9;23.8;35.5;acinar;1.2505149169823e+24;-1.2505149169823e+24;0.7;2.51432498007264e+25
GSM1891245;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.2;16.3;16.7;11.4;33.1;6.3;23.6;33.1;acinar;1.54143068738778e+24;-1.54143068738778e+24;0.7;2.82396630882234e+25
GSM1891246;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;15.9;16.9;15;12.1;33.4;6.7;23.4;33.4;acinar;1.50329621818093e+24;-1.50329621818093e+24;0.7;2.72536453783972e+25
GSM1891247;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;15.2;16.5;14.7;11.8;35.2;6.7;23.4;35.2;acinar;1.46245183492392e+24;-1.46245183492392e+24;0.7;2.76400786752433e+25
GSM1891248;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;18.6;17.7;18.2;12.3;27.8;5.5;22.2;27.8;acinar;1.79061848020269e+24;-1.79061848020269e+24;0.7;3.1629643815581e+25
GSM1891249;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.4;15.6;15.8;10.7;35.9;5.7;23.4;35.9;acinar;1.31301869295568e+24;-1.31301869295568e+24;0.7;2.55663044529782e+25
GSM1891250;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;22;18.9;19.8;14.5;19.6;5.2;21.1;22;alpha;1.63777133476892e+24;-1.63777133476892e+24;0.7;2.63862834112118e+25
GSM1891251;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;17;16.5;15.4;10.7;35;5.3;23.7;35;acinar;1.25226538193409e+24;-1.25226538193409e+24;0.7;2.50874374630828e+25
GSM1891252;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19;17.5;17.7;12.4;27.5;5.9;22;27.5;acinar;1.893379558332e+24;-1.893379558332e+24;0.7;3.37099472299081e+25
GSM1891253;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;17.9;18.6;15.9;12.8;29.8;5;23.1;29.8;acinar;1.2880525603709e+24;-1.2880525603709e+24;0.7;2.22047061889995e+25
GSM1891254;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19.6;18.1;17.7;12.6;26.1;5.9;21.7;26.1;acinar;1.99782196953379e+24;-1.99782196953379e+24;0.7;3.46347202473591e+25
GSM1891255;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;18;18;17.6;12;28.7;5.7;22.1;28.7;acinar;1.83704866898825e+24;-1.83704866898825e+24;0.7;3.26662588242941e+25
GSM1891256;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;20.2;16;18.6;11.7;27.4;6.1;22.4;27.4;acinar;1.75577474887339e+24;-1.75577474887339e+24;0.7;3.14039895895401e+25
GSM1891257;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.7;15.3;17;10.4;35.1;5.6;24.1;35.1;acinar;1.37141690533536e+24;-1.37141690533536e+24;0.7;2.63181655605784e+25
GSM1891258;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.3;15.9;15.4;10.3;36.6;5.4;23.7;36.6;acinar;1.3059957384323e+24;-1.3059957384323e+24;0.7;2.61243236112051e+25
GSM1891259;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;17.9;16.8;17.5;11.3;30.5;6;22.4;30.5;acinar;1.59857923676008e+24;-1.59857923676008e+24;0.7;3.06146985834601e+25
GSM1891260;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19.9;17.1;16.9;12.9;26.5;6.7;21.9;26.5;acinar;2.00981147099627e+24;-2.00981147099627e+24;0.7;3.52026881620944e+25
GSM1891261;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;15.5;17.3;14.2;11.2;35.5;6.4;23.5;35.5;acinar;1.47866119543017e+24;-1.47866119543017e+24;0.7;2.71807771200594e+25
GSM1891262;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;18.5;16.8;17.7;12.7;27.8;6.4;21.9;27.8;acinar;1.9193696332729e+24;-1.9193696332729e+24;0.7;3.40590158843989e+25
GSM1891263;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19.8;17.6;17.9;12.8;25.7;6.1;21.5;25.7;acinar;1.79480884320144e+24;-1.79480884320144e+24;0.7;3.22708874523248e+25
GSM1891264;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;15.6;16.4;17.4;11;34.1;5.6;23.5;34.1;acinar;1.43856272206822e+24;-1.43856272206822e+24;0.7;2.60623728161937e+25
GSM1891265;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;15.3;17.2;14.8;11.5;35.2;5.9;23.9;35.2;acinar;1.39262756288396e+24;-1.39262756288396e+24;0.7;2.57995208058874e+25
GSM1891266;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19;17.9;17.1;12.5;27.4;6.1;21.6;27.4;acinar;1.99511585590677e+24;-1.99511585590677e+24;0.7;3.46475896667726e+25
GSM1891267;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;18.7;17.1;17.8;12.2;27.7;6.4;22;27.7;acinar;1.92547549710712e+24;-1.92547549710712e+24;0.7;3.46943238266747e+25
GSM1891268;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;20.6;16.2;18.5;12;26.7;6;21.5;26.7;acinar;1.89582368893004e+24;-1.89582368893004e+24;0.7;3.48523835878538e+25
GSM1891269;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.2;17.8;14.5;11.6;34.2;5.7;23.9;34.2;acinar;1.4739165059709e+24;-1.4739165059709e+24;0.7;2.66227659348653e+25
GSM1891270;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.6;16.8;16.5;11.7;33.2;5.3;23.2;33.2;acinar;1.52319523516162e+24;-1.52319523516162e+24;0.7;2.67721979304032e+25
GSM1891271;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19;21.6;16.3;13.2;25.8;4.1;21.6;25.8;acinar;1.43471817703707e+24;-1.43471817703707e+24;0.7;2.39970430738652e+25
GSM1891272;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;17.6;16.9;14.6;11.5;33.1;6.4;22.8;33.1;acinar;1.44680474429706e+24;-1.44680474429706e+24;0.7;2.8233229086251e+25
GSM1891273;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;21.5;17.8;19.3;13.6;21.5;6.4;20.1;21.5;alpha;1.82519100515874e+24;-1.82519100515874e+24;0.7;3.15089406847776e+25
GSM1891274;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.2;17.3;14.6;11;36.5;4.4;23.7;36.5;acinar;1.30542096555803e+24;-1.30542096555803e+24;0.7;2.4280928032431e+25
GSM1891275;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;16.6;17.3;14.3;11.2;35;5.6;24.1;35;acinar;1.28464253963383e+24;-1.28464253963383e+24;0.7;2.42001414750869e+25
GSM1891276;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19.7;17.2;18.1;12.7;26.2;6.1;21.7;26.2;acinar;1.77598808223541e+24;-1.77598808223541e+24;0.7;3.31669217476683e+25
GSM1891277;Alpha_Beta_Gamma_Delta_Acinar_Ductal_Baron|Alpha_Beta_Gamma_Delta_Acinar_Ductal_Hisc_Baron;19.5;16.9;18.5;12.8;26.3;6.2;21.6;26.2;acinar;1.80258806999053e+24;-1.80258806999053e+24;0.7;3.31530767670171e+25
